occurence,track_id
0,\ufefftrack_id
1,TRAAAQO12903CD8E1C
1,TRAACCD128F422CDA8
1,TRAAKFF128F42B69BD
1,TRAAYRA128F92E9CC7
1,TRABDRC128F4282D08
1,TRABFPS12903CE5C27
1,TRABXTZ128F14A46A3
1,TRADNNN12903CDCF3C
1,TRAETNE128F92F334E
1,TRAEUJB128F427B76F
1,TRAFVFJ128F421F568
1,TRAFVYM128F425849F
1,TRAGCSE128F425FE4B
1,TRAGLEW128F4234AE0
1,TRAHEWV128F92EEA21
1,TRAHHOY128F425AA9F
1,TRAHVWB128F9308FB0
1,TRAHZRQ128F146FA4B
1,TRAILSD12903CB5890
1,TRAJHKB12903CEDF76
1,TRAKGOH128F1462841
1,TRALIOV128F92C50C4
1,TRAPAEH128F42B9ECE
1,TRAPTSZ128F4227DD5
1,TRAQHIY128F92EF28B
1,TRAQPVL128F9326F47
1,TRARVHF128F9341E7D
1,TRATRDR128F4265AB7
1,TRAVELY128F42606F8
1,TRAVLOL128F428206C
1,TRAVRMA128F9323782
1,TRAWWLZ128F4281900
1,TRAXFEE128F93377D2
1,TRAXFXT128F426A33A
1,TRAYEDP128F92D2C34
1,TRAYHQV128F4266D63
1,TRAZDBE128F14A3578
1,TRBARYY128F1482E37
1,TRBBCMD128F425EB0D
1,TRBDFLJ128F4272E3D
1,TRBFZFS128F1459553
1,TRBGYGQ128F428B0B0
1,TRBIDWF128F930C88B
1,TRBIGFU128F427960A
1,TRBIJES12903CF5B12
1,TRBMKIY128F42811A9
1,TRBPIWF128F9340C5C
1,TRBQGCW128F4281CE2
1,TRBQIWJ128F42ABADA
1,TRBRIZD128F4274A3F
1,TRBRWFC128F93068CF
1,TRBTNGH128F426E72E
1,TRBUADZ128F931D74C
1,TRBULGO12903CB8D55
1,TRBVKLS128F4294D9B
1,TRBVLXQ128F148AE34
1,TRBVVMT128F92EEF10
1,TRBWYBA12903CE2D52
1,TRBXRYB128F4288EAC
1,TRBZGGC12903CA7C08
1,TRBZQBZ12903CA3164
1,TRCCHEP128F932DE5F
1,TRCENLH12903CE82B1
1,TRCENSP128F92EC9B8
1,TRCHFYN128F425A2D9
1,TRCIOZN128F427DFCA
1,TRCJIBG12903CE0B9C
1,TRCOOIL128F92CC822
1,TRCPQMA128F426E854
1,TRCPYAN128F424D7D4
1,TRCQAIN128F42671AE
1,TRCQJLA128F9306DEC
1,TRCQZXN128F14A2417
1,TRCRKUN128F422AD79
1,TRCRRZW128F426FAD9
1,TRCRXTV128F4226906
1,TRCSNMB128F93103E5
1,TRCTQLI128F4279719
1,TRCTTTR12903CEBBA2
1,TRCTYLH12903CF23CD
1,TRCUCOF128F1491708
1,TRCUEGO12903CB5C3F
1,TRCUQED128F42355BD
1,TRCUVQC128F9304134
1,TRCUZMN128F14572AA
1,TRCVAFN128F9308F7E
1,TRCVMAF12903D00E61
1,TRCWIAX12903CC565C
